scenario_id,terrain_type,response_budget,advantage,red_quality,red_doctrinal_alignment,candidate_diversity,candidate_quality_spread,n_pareto_optimal
humanitarian-evacuation-131,urban_humanitarian,4,0.4720527684620027,0.31078892615198905,0.815,0.611111111111111,0.2328404756951122,2
humanitarian-evacuation-131,urban_humanitarian,8,0.4720527684620027,0.31078892615198905,0.815,0.5904761904761904,0.2328404756951122,2
humanitarian-evacuation-131,urban_humanitarian,16,0.4708523001422414,0.31559079943103446,1.0,0.5719444444444445,0.2679182096900053,1
urban-130,urban,1,0.5205274318794234,0.17189256180344747,0.865,0.0,0.0,1
urban-130,urban,2,0.5205274318794234,0.17189256180344747,0.865,1.0,0.06632642800811217,1
urban-130,urban,4,0.5097971307720006,0.21481376623313833,0.545,0.888888888888889,0.12764971434790273,3
urban-130,urban,8,0.4801113639700115,0.333556833441095,0.59,0.7738095238095238,0.2667314178973177,4
urban-130,urban,16,0.4801113639700115,0.333556833441095,0.59,0.780555555555556,0.3026657300735703,3
maritime-131,maritime,1,0.5182134949055691,0.15914602037772363,0.805,0.0,0.0,1
maritime-131,maritime,2,0.5042965584417154,0.21481376623313833,0.665,0.5,0.0556677458554147,2
maritime-131,maritime,4,0.5042965584417154,0.21481376623313833,0.665,0.6666666666666666,0.14708944929640222,2
maritime-131,maritime,8,0.4877747707671185,0.28090091693152597,0.805,0.6410714285714286,0.21317659999478983,1
maritime-131,maritime,16,0.481883043256439,0.3044678269742439,0.805,0.6806944444444442,0.2572966336339798,1
multi-domain-132,mixed,1,0.5189072980425744,0.15914602037772363,0.805,0.0,0.0,1
multi-domain-132,mixed,2,0.5049903615787208,0.21481376623313833,0.665,0.5,0.0556677458554147,2
multi-domain-132,mixed,4,0.5049903615787208,0.21481376623313833,0.665,0.6666666666666666,0.14708944929640222,2
multi-domain-132,mixed,8,0.48846857390412385,0.28090091693152597,0.805,0.6410714285714286,0.21317659999478983,1
multi-domain-132,mixed,16,0.48257684639344434,0.3044678269742439,0.805,0.6806944444444442,0.2572966336339798,1
air-defense-133,air_defense,1,0.5004760398090461,0.22009584076381553,0.805,0.0,0.0,1
air-defense-133,air_defense,2,0.5004760398090461,0.22009584076381553,0.805,0.8,0.16072628823080165,1
air-defense-133,air_defense,4,0.5004760398090461,0.22009584076381553,0.805,0.5722222222222223,0.16072628823080165,2
air-defense-133,air_defense,8,0.4961835730737518,0.23726570770499272,0.665,0.5517857142857142,0.17789615517197888,3
air-defense-133,air_defense,16,0.47282402195789514,0.3307039121684195,0.665,0.5840277777777777,0.27133435963540564,3
humanitarian-evacuation-134,urban_humanitarian,1,0.5526340370360441,-0.011536148144176243,0.9550000000000001,0.0,0.0,1
humanitarian-evacuation-134,urban_humanitarian,2,0.4967317017623249,0.2120731929507004,0.815,0.25,0.22360934109487665,2
humanitarian-evacuation-134,urban_humanitarian,4,0.4967317017623249,0.2120731929507004,0.815,0.5416666666666669,0.22360934109487665,3
humanitarian-evacuation-134,urban_humanitarian,8,0.46707402195789516,0.3307039121684195,0.9550000000000001,0.5625000000000001,0.34224006031259574,2
humanitarian-evacuation-134,urban_humanitarian,16,0.46707402195789516,0.3307039121684195,0.9550000000000001,0.5363888888888886,0.3564368354516628,2
urban-133,urban,1,0.5018385930243339,0.26675622355787765,0.77,0.0,0.0,1
urban-133,urban,2,0.5018385930243339,0.26675622355787765,0.77,1.0,0.15666537737242978,1
urban-133,urban,4,0.5018385930243339,0.26675622355787765,0.77,0.9444444444444445,0.23739006661747064,1
urban-133,urban,8,0.5018385930243339,0.26675622355787765,0.77,0.8154761904761906,0.23739006661747064,2
urban-133,urban,16,0.48443949397167435,0.3363526197685159,0.59,0.7611111111111114,0.3069864628281089,3
maritime-134,maritime,1,0.5319471531949329,0.10421138722026842,0.805,0.0,0.0,1
maritime-134,maritime,2,0.49903710248022376,0.235851590079105,0.76,0.75,0.1316402028588366,2
maritime-134,maritime,4,0.49903710248022376,0.235851590079105,0.76,0.7666666666666666,0.23894541866984537,2
maritime-134,maritime,8,0.4926651897469145,0.26133924101234207,0.805,0.6982142857142858,0.26443306960308244,1
maritime-134,maritime,16,0.49034257349650084,0.27062970601399666,0.625,0.6833333333333331,0.27860226495838186,2
multi-domain-135,mixed,1,0.5461062913026486,0.10421138722026842,0.805,0.0,0.0,1
multi-domain-135,mixed,2,0.5131962405879396,0.235851590079105,0.76,0.75,0.1316402028588366,2
multi-domain-135,mixed,4,0.5131962405879396,0.235851590079105,0.76,0.7666666666666666,0.23894541866984537,2
